expression,reading,meaning,tags,part_of_speech
得点,とくてん,score; points made,JLPT_1,noun
特派,とくは,send specially; special envoy,JLPT_1,noun
特有,とくゆう,characteristic (of; peculiar (to)),JLPT_1,noun
とげ (をさす),とげ (をさす),thorn,JLPT_1,noun
遂げる,とげる,to accomplish; to achieve; to carry out,JLPT_1,verb
～どころか,～どころか,rather; far from,JLPT_1,noun
年頃,としごろ,age; marriageable age; adolescence,JLPT_1,noun
戸締り,とじまり,closing up; locking the doors,JLPT_1,noun
途上,とじょう,en/in route; half way,JLPT_1,noun
土台,どだい,foundation; base; basis,JLPT_1,noun
途絶える,とだえる,to stop; to cease; to come to an end,JLPT_1,verb
特許,とっきょ,special permission; patent,JLPT_1,noun
特権,とっけん,privilege; special right,JLPT_1,noun
とっさに,とっさに,at once,JLPT_1,noun
突如,とつじょ,suddenly; all of a sudden,JLPT_1,adverb
とって,とって,handle; grip; knob,JLPT_1,verb
突破,とっぱ,breaking through; breakthrough; penetration,JLPT_1,noun
土手,どて,embankment; bank,JLPT_1,noun
届,とどけ,report; notification; registration,JLPT_1,noun
滞る,とどこおる,to stagnate; to be delayed,JLPT_1,verb
整える,ととのえる,to put in order; to arrange; to adjust; to get ready; to prepare; to raise money,JLPT_1,verb
止める,とどめる,to end; to stop; to cease; to resign,JLPT_1,verb
唱える,となえる,to recite; to chant; to call upon,JLPT_1,verb
殿様,とのさま,feudal lord,JLPT_1,noun
土俵,どひょう,arena,JLPT_1,noun
扉,とびら,door; opening,JLPT_1,noun
溝,どぶ,ditch; drain; gap,JLPT_1,noun
徒歩,とほ,walking; going on foot,JLPT_1,noun
土木,どぼく,public works,JLPT_1,noun
とぼける,とぼける,to play dumb; to feign ignorance; to play innocent; to have a blank facial expression; to play the fool; to be in one's dotage,JLPT_1,verb
乏しい,とぼしい,meager; scarce; hard up; poor,JLPT_1,adjective
富,とみ,wealth; fortune,JLPT_1,noun
富む,とむ,to be rich; to become rich,JLPT_1,verb
共稼ぎ,ともかせぎ,working together; (husband and wife) earning a living together,JLPT_1,noun
伴う,ともなう,to accompany; to bring with,JLPT_1,verb
共働き,ともばたらき,dual income (husband and wife both working),JLPT_1,noun
ドライ,ドライ,dry,JLPT_1,noun
ドライクリーニング,ドライクリーニング,dry cleaning,JLPT_1,noun
ドライバー,ドライバー,driver; screwdriver,JLPT_1,noun
ドライブイン,ドライブイン,drive in,JLPT_1,noun
トラブル,トラブル,trouble (sometimes used as a verb),JLPT_1,noun
トランジスター,トランジスター,transistor,JLPT_1,noun
とりあえず,とりあえず,at once; first of all; for the time being,JLPT_1,adverb
取扱,とりあつかい,treatment; handling; management,JLPT_1,noun
取り扱う,とりあつかう,to treat; to handle; to deal in,JLPT_1,verb
鳥居,とりい,Shinto shrine archway,JLPT_1,noun
取り替え,とりかえ,swap; exchange,JLPT_1,verb
取り組む,とりくむ,to tackle; to engage in a bout; to come to grips with,JLPT_1,verb
取締り,とりしまり,control; crackdown; supervision,JLPT_1,noun
取り締まる,とりしまる,to crack down; to control; to supervise,JLPT_1,verb
取り調べる,とりしらべる,to investigate; to examine,JLPT_1,verb
取り立てる,とりたてる,to collect; to extort,JLPT_1,verb
取り次ぐ,とりつぐ,to act as an agent for; to announce (someone); to convey (a message),JLPT_1,verb
取り付ける,とりつける,to furnish; to install; to get someone's agreement,JLPT_1,verb
取り除く,とりのぞく,to remove; to take away; to set apart,JLPT_1,verb
取引,とりひき,transactions; dealings; business,JLPT_1,noun
取り巻く,とりまく,to surround; to circle; to enclose,JLPT_1,verb
取り混ぜる,とりまぜる,to mix; to put together,JLPT_1,verb
取り戻す,とりもどす,to take back; to regain,JLPT_1,verb
取り寄せる,とりよせる,to order; to send away for,JLPT_1,verb
ドリル,ドリル,drill,JLPT_1,noun
副,とりわけ,especially; above all,JLPT_1,other
とろける,とろける,melt; to be enchanted with,JLPT_1,verb
鈍感,どんかん,thickheadedness; stolidity,JLPT_1,adjective
とんだ,とんだ,terrible; awful; serious; absolutely not,JLPT_1,verb
度忘れ,どわすれ,lapse of memory; forget for a moment,JLPT_1,noun
問屋,とんや,wholesale store,JLPT_1,noun
内閣,ないかく,cabinet; (government),JLPT_1,noun
乃至,ないし,from...to; between...and; or,JLPT_1,other
内緒,ないしょ,secrecy; privacy; secret,JLPT_1,noun
内心,ないしん,innermost thoughts; real intention; inmost heart,JLPT_1,noun
内蔵,ないぞう,internal organ; built-in,JLPT_1,noun
ナイター,ナイター,game under lights (e.g.; baseball); night game,JLPT_1,noun
内部,ないぶ,interior; inside; internal,JLPT_1,noun
内乱,ないらん,civil war; domestic conflict,JLPT_1,noun
内陸,ないりく,inland,JLPT_1,noun
苗,なえ,rice seedling,JLPT_1,noun
なおさら,なおさら,all the more; still less,JLPT_1,adverb
流し,ながし,sink,JLPT_1,verb
長々,ながなが,long; drawn-out; very long,JLPT_1,adverb
中程,なかほど,middle; midway,JLPT_1,noun
渚,なぎさ,water's edge; beach; shore,JLPT_1,noun
嘆く,なげく,to sigh; to lament; to grieve,JLPT_1,verb
投げ出す,なげだす,to abandon; to throw out,JLPT_1,verb
仲人,なこうど,go-between; matchmaker,JLPT_1,noun
和やか,なごやか,mild; calm; harmonious,JLPT_1,adjective
名残,なごり,remains; traces; memory,JLPT_1,noun
情け,なさけ,sympathy; compassion,JLPT_1,noun
情無い,なさけない,miserable; pitiable; shameful,JLPT_1,adjective
情深い,なさけぶかい,tender-hearted; compassionate,JLPT_1,adjective
詰る,なじる,to rebuke; to scold; to tell off,JLPT_1,verb
名高い,なだかい,famous; celebrated; well-known,JLPT_1,adjective
雪崩,なだれ,avalanche,JLPT_1,noun
懐く,なつく,to become emotionally attached,JLPT_1,verb
名付ける,なづける,to name,JLPT_1,verb
何気ない,なにげない,casual; unconcerned,JLPT_1,adjective
なにとぞ,なにとぞ,please; kindly; by all means,JLPT_1,adverb
なにより,なにより,most; best,JLPT_1,noun
ナプキン,ナプキン,napkin,JLPT_1,noun
名札,なふだ,name plate; name tag,JLPT_1,noun
生臭い,なまぐさい,smelling of fish or blood; fish or meat,JLPT_1,adjective
生温い,なまぬるい,lukewarm; halfhearted,JLPT_1,adjective
生身,なまみ,living flesh; flesh and blood; the quick,JLPT_1,noun
鉛,なまり,lead (the metal),JLPT_1,noun
滑らか,なめらか,smoothness; glassiness,JLPT_1,adjective
嘗める,なめる,to lick; to experience; to make fun of,JLPT_1,verb
悩ましい,なやましい,seductive; melancholy; languid,JLPT_1,adjective
悩ます,なやます,to bother; to harass; to molest,JLPT_1,verb
悩み,なやみ,trouble(s); worry; distress,JLPT_1,noun
並びに,ならびに,and,JLPT_1,other
成り立つ,なりたつ,to consist of; to be practical (logical; feasible; viable); to be concluded; to hold true,JLPT_1,verb
なるたけ,なるたけ,as much as possible; if possible,JLPT_1,adverb
慣れ,なれ,practice; experience,JLPT_1,verb
馴々しい,なれなれしい,familiar; make free with,JLPT_1,verb
