expression,reading,meaning,tags,part_of_speech
休学,きゅうがく,temporary absence from school; suspension,JLPT_1,noun
究極,きゅうきょく,ultimate; final; eventual,JLPT_1,noun
窮屈,きゅうくつ,narrow; tight; formal,JLPT_1,noun
球根,きゅうこん,(plant) bulb,JLPT_1,noun
救済,きゅうさい,relief; aid; rescue,JLPT_1,noun
給仕,きゅうじ,waiter,JLPT_1,noun
給食,きゅうしょく,school lunch; providing a meal,JLPT_1,noun
休戦,きゅうせん,truce; armistice,JLPT_1,noun
宮殿,きゅうでん,palace,JLPT_1,noun
旧知,きゅうち,old friend; old friendship,JLPT_1,noun
窮乏,きゅうぼう,poverty,JLPT_1,noun
寄与,きよ,contribution; service,JLPT_1,noun
強,きょう,strong,JLPT_1,adjective
～狂,～きょう,maniac; fan; freak,JLPT_1,noun
驚異,きょうい,wonder; miracle,JLPT_1,noun
教科,きょうか,subject; curriculum,JLPT_1,noun
協会,きょうかい,association; society; organization,JLPT_1,noun
共学,きょうがく,coeducation,JLPT_1,noun
共感,きょうかん,sympathy; response,JLPT_1,noun
境遇,きょうぐう,environment; circumstances,JLPT_1,noun
教訓,きょうくん,lesson; precept; moral instruction,JLPT_1,noun
強行,きょうこう,forcing; enforcement,JLPT_1,noun
強硬,きょうこう,firm; vigorous; stubborn,JLPT_1,adjective
教材,きょうざい,teaching materials,JLPT_1,noun
凶作,きょうさく,bad harvest; poor crop,JLPT_1,noun
業者,ぎょうしゃ,trader; merchant,JLPT_1,noun
教習,きょうしゅう,training; instruction,JLPT_1,noun
郷愁,きょうしゅう,nostalgia; homesickness,JLPT_1,noun
教職,きょうしょく,teaching profession,JLPT_1,noun
興じる,きょうじる,to amuse oneself; to make merry,JLPT_1,verb
強制,きょうせい,obligation; compulsion; enforcement,JLPT_1,noun
行政,ぎょうせい,administration,JLPT_1,noun
業績,ぎょうせき,achievement; work; contribution,JLPT_1,noun
共存,きょうぞん,coexistence,JLPT_1,noun
協定,きょうてい,arrangement; pact; agreement,JLPT_1,noun
郷土,きょうど,homeland,JLPT_1,noun
脅迫,きょうはく,threat; coercion,JLPT_1,noun
業務,ぎょうむ,business; duties; work,JLPT_1,noun
共鳴,きょうめい,resonance; sympathy,JLPT_1,noun
郷里,きょうり,birth-place; home town,JLPT_1,noun
強烈,きょうれつ,strong; intense; severe,JLPT_1,adjective
共和,きょうわ,republicanism; cooperation,JLPT_1,noun
局限,きょくげん,limit; localize,JLPT_1,noun
極端,きょくたん,extreme; extremity,JLPT_1,noun
居住,きょじゅう,residence,JLPT_1,noun
拒絶,きょぜつ,refusal; rejection,JLPT_1,noun
漁船,ぎょせん,fishing boat,JLPT_1,noun
漁村,ぎょそん,fishing village,JLPT_1,noun
拒否,きょひ,denial; rejection; refusal,JLPT_1,noun
許容,きょよう,permission; pardon,JLPT_1,noun
清らか,きよらか,clean; pure; chaste,JLPT_1,adjective
きらびやか,きらびやか,gorgeous; gaudy; dazzling,JLPT_1,adjective
～きり,～きり,only,JLPT_1,noun
義理,ぎり,debt of gratitude; obligation,JLPT_1,noun
切替,きりかえ,exchange; conversion; switchover,JLPT_1,noun
気流,きりゅう,atmospheric current,JLPT_1,noun
切れ目,きれめ,break; pause; gap,JLPT_1,noun
疑惑,ぎわく,doubt; misgivings; suspicion,JLPT_1,noun
極めて,きわめて,exceedingly; extremely (written expression),JLPT_1,adverb
近眼,きんがん,nearsightedness,JLPT_1,noun
緊急,きんきゅう,urgent; pressing; emergency,JLPT_1,adjective
近郊,きんこう,suburbs; outskirts,JLPT_1,noun
均衡,きんこう,equilibrium; balance,JLPT_1,noun
禁じる,きんじる,to prohibit,JLPT_1,verb
勤勉,きんべん,industry; diligence,JLPT_1,noun
吟味,ぎんみ,examination; careful investigation,JLPT_1,noun
勤務,きんむ,service; duty; work,JLPT_1,noun
禁物,きんもつ,taboo; forbidden thing,JLPT_1,noun
勤労,きんろう,labor; exertion; diligent service,JLPT_1,noun
クイズ,クイズ,quiz,JLPT_1,noun
食い違う,くいちがう,to cross each other; to differ,JLPT_1,verb
空間,くうかん,space; room; airspace,JLPT_1,noun
空腹,くうふく,hunger,JLPT_1,noun
区画,くかく,division; section; area,JLPT_1,noun
区間,くかん,section,JLPT_1,noun
茎,くき,stalk,JLPT_1,noun
区切り,くぎり,an end; a stop; punctuation,JLPT_1,noun
くぐる,くぐる,to pass through; to go around,JLPT_1,verb
くじ (～をひく),くじ (～をひく),lottery; lot,JLPT_1,noun
くじびき,くじびき,lottery; drawn lot,JLPT_1,noun
くすぐったい,くすぐったい,ticklish,JLPT_1,adjective
愚痴,ぐち,idle complaint; grumble,JLPT_1,noun
口吟む,くちずさむ,to humble,JLPT_1,noun
嘴,くちばし,beak; bill,JLPT_1,noun
朽ちる,くちる,to rot,JLPT_1,verb
覆す,くつがえす,to overturn; to upset; to overthrow,JLPT_1,verb
くっきり,くっきり,distinctly; clearly; boldly,JLPT_1,adverb
屈折,くっせつ,bending; indentation; refraction,JLPT_1,noun
ぐっと,ぐっと,firmly; fast; more,JLPT_1,adverb
首飾り,くびかざり,necklace,JLPT_1,noun
首輪,くびわ,necklace; choker,JLPT_1,noun
組み込む,くみこむ,to insert; to include; to cut in (printing),JLPT_1,verb
組み合わせる,くみあわせる,to join together; to combine; to join up,JLPT_1,verb
蔵,くら,warehouse; cellar,JLPT_1,noun
グレー,グレー,grey; gray,JLPT_1,noun
クレーン,クレーン,crane,JLPT_1,noun
玄人,くろうと,expert; professional,JLPT_1,noun
黒字,くろじ,balance (figure) in the black,JLPT_1,noun
軍艦,ぐんかん,warship; battleship,JLPT_1,noun
軍事,ぐんじ,military affairs,JLPT_1,noun
君主,くんしゅ,ruler; monarch,JLPT_1,noun
群集,ぐんしゅう,(social) group; crowd; mob,JLPT_1,noun
群衆,ぐんしゅう,(social) group; crowd; mob,JLPT_1,noun
軍備,ぐんび,armaments; military preparations,JLPT_1,noun
軍服,ぐんぷく,military or naval uniform,JLPT_1,noun
芸,げい,art; accomplishment; performance,JLPT_1,noun
経過,けいか,passage; progress,JLPT_1,noun
軽快,けいかい,lively; casual; light,JLPT_1,noun
警戒,けいかい,warning; admonition; vigilance,JLPT_1,noun
敬具,けいぐ,Sincerely (used at the end of letter),JLPT_1,noun
軽減,けいげん,reduction; lessening,JLPT_1,noun
掲載,けいさい,appearance (e.g.; article in paper),JLPT_1,noun
傾斜,けいしゃ,inclination; slope; dip,JLPT_1,noun
形成,けいせい,formation,JLPT_1,noun
形勢,けいせい,condition; situation; prospects,JLPT_1,noun
軽率,けいそつ,thoughtless; careless; hasty,JLPT_1,noun
刑罰,けいばつ,judgment; penalty; punishment,JLPT_1,noun
経費,けいひ,expenses; cost; outlay,JLPT_1,noun
警部,けいぶ,police inspector,JLPT_1,noun
転換,てんかん,convert; divert,JLPT_1,noun
転居,てんきょ,moving; changing residence,JLPT_1,noun
転勤,てんきん,transfer (to another office of a company),JLPT_1,noun
点検,てんけん,inspection; examination; checking,JLPT_1,noun
電源,でんげん,source of electricity; power (e.g.; button on TV),JLPT_1,noun
天国,てんごく,paradise; heaven; Kingdom of Heaven,JLPT_1,noun
天才,てんさい,a genius,JLPT_1,noun
天災,てんさい,natural calamity; disaster,JLPT_1,noun
展示,てんじ,exhibition; display,JLPT_1,noun
伝説,でんせつ,tradition; legend; folklore,JLPT_1,noun
点線,てんせん,dotted line,JLPT_1,noun
転じる,てんじる,to turn; to shift,JLPT_1,verb
転ずる,てんずる,to turn; to shift,JLPT_1,verb
天体,てんたい,heavenly body,JLPT_1,noun
伝達,でんたつ,transmission (e.g.; news; communication; delivery),JLPT_1,noun
天地,てんち,heaven and earth; the universe,JLPT_1,noun
てんで,てんで,(not) at all; altogether; entirely,JLPT_1,adverb
転任,てんにん,change of post,JLPT_1,noun
展望,てんぼう,view; outlook; prospect,JLPT_1,noun
伝来,でんらい,ancestral; hereditary; imported,JLPT_1,noun
転落,てんらく,fall; degradation,JLPT_1,noun
問い合わせる,といあわせる,to inquire; to seek information,JLPT_1,verb
当～,とう～,Our ~ (e.g.; Hotel; plane; etc.),JLPT_1,noun
胴,どう,trunk; body; frame,JLPT_1,noun
同意,どうい,agreement; consent; same meaning,JLPT_1,noun
動員,どういん,mobilization,JLPT_1,noun
同感,どうかん,agreement; same opinion; same feeling,JLPT_1,noun
陶器,とうき,pottery; ceramics,JLPT_1,noun
討議,とうぎ,debate; discussion,JLPT_1,noun
動機,どうき,motive; incentive,JLPT_1,noun
等級,とうきゅう,grade; class,JLPT_1,noun
同級,どうきゅう,the same grade; same class,JLPT_1,noun
同居,どうきょ,living together,JLPT_1,noun
登校,とうこう,attendance (at school),JLPT_1,noun
統合,とうごう,integration; unification; synthesis,JLPT_1,noun
動向,どうこう,trend; tendency; movement; attitude,JLPT_1,noun
投資,とうし,investment,JLPT_1,noun
同情,どうじょう,sympathy; compassion; sympathize,JLPT_1,noun
道場,どうじょう,(arch) dojo; hall used for martial arts training; mandala,JLPT_1,noun
統制,とうせい,regulation; control,JLPT_1,noun
当選,とうせん,being elected; winning the prize,JLPT_1,noun
逃走,とうそう,flight; desertion; escape,JLPT_1,noun
統率,とうそつ,command; generalship; leadership,JLPT_1,noun
到達,とうたつ,reaching; attaining; arrival,JLPT_1,noun
統治,とうち,rule; reign; governing,JLPT_1,noun
仕切る,しきる,to partition; to divide; to mark off,JLPT_1,verb
資金,しきん,funds; capital,JLPT_1,noun
軸,じく,axis; stem; shaft,JLPT_1,noun
しくじる,しくじる,to fail; to fall through; to blunder,JLPT_1,verb
仕組,しくみ,structure; mechanism,JLPT_1,noun
死刑,しけい,death penalty,JLPT_1,noun
湿気る,しける,to be damp; to be moist,JLPT_1,verb
施行,しこう,enforcement; operation,JLPT_1,noun
思考,しこう,thought,JLPT_1,noun
志向,しこう,intention; aim,JLPT_1,noun
嗜好,しこう,taste; liking; preference,JLPT_1,noun
事項,じこう,matter(s); item(s); facts,JLPT_1,noun
時刻表,じこくひょう,timetable; (train) schedule,JLPT_1,noun
地獄,じごく,hell,JLPT_1,noun
時差,じさ,time difference,JLPT_1,noun
自在,じざい,freely; at will,JLPT_1,adjective
視察,しさつ,inspection; observation,JLPT_1,noun
資産,しさん,property; fortune; assets,JLPT_1,noun
支持,しじ,support,JLPT_1,noun
自主,じしゅ,independence; autonomy,JLPT_1,noun
自首,じしゅ,surrender; give oneself up,JLPT_1,noun
刺繍,ししゅう,embroidery,JLPT_1,noun
市場,しじょう,(the) market (as a concept),JLPT_1,noun
辞職,じしょく,resignation,JLPT_1,noun
雫,しずく,drop (of water),JLPT_1,noun
システム,システム,system,JLPT_1,noun
沈める,しずめる,to sink; to submerge,JLPT_1,verb
施設,しせつ,establishment; facility,JLPT_1,noun
事前,じぜん,prior; beforehand; in advance,JLPT_1,noun
子息,しそく,(hon.) son,JLPT_1,noun
持続,じぞく,continuation; endurance,JLPT_1,noun
自尊心,じそんしん,self-respect; conceit,JLPT_1,noun
慕う,したう,to yearn to adore,JLPT_1,verb
下心,したごころ,secret intention; motive,JLPT_1,noun
下地,したじ,groundwork; foundation,JLPT_1,noun
親しむ,したしむ,to be intimate with; to befriend,JLPT_1,verb
下調べ,したしらべ,preliminary investigation,JLPT_1,noun
愛想,あいそう,sociability,JLPT_1,noun
間柄,あいだがら,relationship,JLPT_1,noun
合間,あいま,interval,JLPT_1,noun
敢えて,あえて,dare (to do); venture (to do); challenge (to do),JLPT_1,adverb
仰ぐ,あおぐ,to look up (to); to respect; to ask for,JLPT_1,verb
垢,あか,dirt; filth,JLPT_1,noun
赤字,あかじ,deficit; go in the red,JLPT_1,noun
明かす,あかす,to reveal; to stay up,JLPT_1,verb
赤らむ,あからむ,to become red; to blush,JLPT_1,verb
上がり,あがり,ascent; income; completion; stop,JLPT_1,noun
諦め,あきらめ,resignation; reconciliation; consolation,JLPT_1,verb
アクセル,アクセル,(abbr.) accelerator,JLPT_1,noun
あくどい,あくどい,gaudy vicious,JLPT_1,adjective
顎,あご,chin,JLPT_1,noun
憧れ,あこがれ,yearning; longing; aspiration,JLPT_1,verb
麻,あさ,hemp,JLPT_1,noun
あざ,あざ,birthmark; bruise,JLPT_1,noun
浅ましい,あさましい,shameful; mean; despicable,JLPT_1,adjective
欺く,あざむく,to deceive,JLPT_1,verb
鮮やか,あざやか,vivid; clear,JLPT_1,adjective
嘲笑う,あざわらう,to sneer at; to ridicule,JLPT_1,verb
悪しからず,あしからず,don't take me wrong; but...; I'm sorry,JLPT_1,adverb
味わい,あじわい,flavor; relish,JLPT_1,noun
焦る,あせる,to be in a hurry; to be impatient,JLPT_1,verb
あせる (こえが～),あせる (こえが～),to fade; to discolor,JLPT_1,noun
値,あたい,value; price; worth,JLPT_1,noun
値する,あたいする,to be worth; to deserve,JLPT_1,verb
悪化,あっか,deterioration; worsen,JLPT_1,noun
扱い,あつかい,treatment; service,JLPT_1,noun
呆気ない,あっけない,not enough; too quick (short; long; etc.),JLPT_1,adjective
あっさり,あっさり,easily; readily; quickly,JLPT_1,adverb
斡旋,あっせん,kind offices; mediation,JLPT_1,noun
圧倒,あっとう,overwhelm; overpower,JLPT_1,noun
圧迫,あっぱく,pressure; coercion; oppression,JLPT_1,noun
あつらえる,あつらえる,to give an order; to place an order,JLPT_1,verb
圧力,あつりょく,stress; pressure,JLPT_1,noun
当て,あて,expectations; depend,JLPT_1,adverb
～宛,～あて,for…(e.g.; In a letter),JLPT_1,noun
当て字,あてじ,phonetic-equivalent character; substitute character,JLPT_1,noun
跡継ぎ,あとつぎ,heir; successor,JLPT_1,noun
後回し,あとまわし,putting off; postponing,JLPT_1,noun
油絵,あぶらえ,oil painting,JLPT_1,noun
アプローチ,アプローチ,approach (in golf),JLPT_1,noun
あべこべ,あべこべ,contrary; opposite; inverse,JLPT_1,noun
甘える,あまえる,to behave like a spoiled child; to fawn on,JLPT_1,verb
雨具,あまぐ,rain gear,JLPT_1,noun
甘口,あまくち,sweet flavor,JLPT_1,noun
アマチュア,アマチュア,amateur,JLPT_1,noun
網,あみ,net,JLPT_1,noun
操る,あやつる,to manipulate; to operate; to pull strings,JLPT_1,verb
危ぶむ,あやぶむ,to fear; to have misgivings; to be doubtful,JLPT_1,verb
あやふや,あやふや,uncertain; vague; ambiguous,JLPT_1,adjective
過ち,あやまち,fault; error; indiscretion,JLPT_1,noun
誤る,あやまる,to make a mistake,JLPT_1,verb
歩み,あゆみ,step; progress; history,JLPT_1,noun
歩む,あゆむ,to walk,JLPT_1,verb
予め,あらかじめ,in advance; previously,JLPT_1,adverb
荒らす,あらす,to damage; to invade,JLPT_1,verb
争い,あらそい,dispute; quarrel; conflict,JLPT_1,noun
改まる,あらたまる,to be renewed; to be formal,JLPT_1,verb
荒っぽい,あらっぽい,rough; rude,JLPT_1,adjective
アラブ,アラブ,Arab,JLPT_1,noun
霰,あられ,hail (e.g.; falling ice balls),JLPT_1,noun
有り様,ありさま,state; condition,JLPT_1,noun
ありのまま,ありのまま,the truth; as it is; frankly,JLPT_1,adverb
ありふれる,ありふれる,common; ordinary; routine,JLPT_1,verb
アルカリ,アルカリ,alkali,JLPT_1,noun
アルミ,アルミ,aluminum (Al; aluminum),JLPT_1,noun
アワー,アワー,hour,JLPT_1,noun
合わす,あわす,to join together; to face; to unite,JLPT_1,verb
～合せ,～あわせ,in all,JLPT_1,noun
アンコール,アンコール,encore,JLPT_1,noun
暗殺,あんさつ,assassination,JLPT_1,noun
暗算,あんざん,mental arithmetic,JLPT_1,noun
暗示,あんじ,hint; suggestion,JLPT_1,noun
案じる,あんじる,to be anxious; to ponder,JLPT_1,verb
安静,あんせい,rest,JLPT_1,noun
案の定,あんのじょう,sure enough; as usual,JLPT_1,adverb
いい加減,いいかげん,random; irresponsible,JLPT_1,adverb
言い訳,いいわけ,excuse; explanation,JLPT_1,noun
イェス,イェス,yes; Jesus,JLPT_1,noun
家出,いえで,running away from home,JLPT_1,noun
生かす,いかす,to keep something alive; to make use of,JLPT_1,verb
いかに,いかに,how; in what way,JLPT_1,adverb
いかにも,いかにも,truly (same as 実に (じつに)),JLPT_1,adverb
異議,いぎ,objection; dissent; protest,JLPT_1,noun
生き甲斐,いきがい,something one lives for; very important,JLPT_1,noun
行き違い,いきちがい,misunderstanding; disagreement,JLPT_1,noun
意気込む,いきごむ,to be enthusiastic about,JLPT_1,verb
育成,いくせい,rearing; training; cultivation,JLPT_1,noun
幾多,いくた,many; numerous,JLPT_1,noun
(花を〜) 生ける; 活ける,(はなを～) いける,to arrange (flowers),JLPT_1,verb
異見,いけん,different opinion; objection,JLPT_1,noun
意向,いこう,intention; idea; inclination,JLPT_1,noun
移行,いこう,switching over to,JLPT_1,noun
いざ,いざ,now; come (now); crucial moment,JLPT_1,adverb
移住,いじゅう,migration; immigration,JLPT_1,noun
衣装,いしょう,clothing; costume; outfit,JLPT_1,noun
いじる,いじる,to touch; to tamper with,JLPT_1,verb
異性,いせい,the opposite sex,JLPT_1,noun
遺跡,いせき,historic ruins,JLPT_1,noun
依存,いぞん,dependence; dependent; reliance,JLPT_1,noun
委託,いたく,consign (goods (for sale) to a firm); entrust,JLPT_1,noun
いたって,いたって,very much; exceedingly; extremely,JLPT_1,verb
出世,しゅっせ,promotion; successful career; eminence,JLPT_1,noun
出題,しゅつだい,proposing a question,JLPT_1,noun
出動,しゅつどう,mobilization; action,JLPT_1,noun
出費,しゅっぴ,expenses; disbursements,JLPT_1,noun
出品,しゅっぴん,exhibit; display,JLPT_1,noun
主導,しゅどう,main leadership,JLPT_1,noun
主任,しゅにん,person in charge; responsible official,JLPT_1,noun
首脳,しゅのう,head; leader,JLPT_1,noun
守備,しゅび,defense,JLPT_1,noun
手法,しゅほう,technique,JLPT_1,noun
樹木,じゅもく,trees and shrubs; arbor,JLPT_1,noun
樹立,じゅりつ,establish; create,JLPT_1,noun
準急,じゅんきゅう,local express (train; slower than an express),JLPT_1,noun
準じる,じゅんじる,to follow; to conform; to apply to,JLPT_1,verb
～署,～しょ,department,JLPT_1,noun
～症,～しょう,disease,JLPT_1,noun
～証,～しょう,proof; certificate,JLPT_1,noun
～嬢,～じょう,young woman,JLPT_1,noun
上位,じょうい,superior; higher order,JLPT_1,noun
上演,じょうえん,art performance,JLPT_1,noun
城下,じょうか,land near the castle,JLPT_1,noun
消去,しょうきょ,elimination; erasing,JLPT_1,noun
上空,じょうくう,sky; high-altitude sky; upper air,JLPT_1,noun
衝撃,しょうげき,shock; crash; impact; ballistic,JLPT_1,noun
証言,しょうげん,evidence; testimony,JLPT_1,noun
証拠,しょうこ,evidence; proof,JLPT_1,noun
照合,しょうごう,check; verification,JLPT_1,noun
詳細,しょうさい,detail; particulars,JLPT_1,adjective
上昇,じょうしょう,rising; ascending; climbing,JLPT_1,noun
昇進,しょうしん,promotion,JLPT_1,noun
称する,しょうする,to take the name of; to call oneself,JLPT_1,verb
情勢,じょうせい,state of things; condition; situation,JLPT_1,noun
消息,しょうそく,news; letter; circumstances,JLPT_1,noun
承諾,しょうだく,consent; agreement,JLPT_1,noun
情緒,じょうちょ,emotion; feeling,JLPT_1,noun
情緒,じょうしょ,emotion; feeling,JLPT_1,noun
象徴,しょうちょう,symbol,JLPT_1,noun
小児科,しょうにか,pediatrics,JLPT_1,noun
使用人,しようにん,employee; servant,JLPT_1,noun
情熱,じょうねつ,passion; enthusiasm; zeal,JLPT_1,noun
譲歩,じょうほ,concession; conciliation; compromise,JLPT_1,noun
条約,じょうやく,treaty; pact,JLPT_1,noun
勝利,しょうり,victory; triumph; win,JLPT_1,noun
上陸,じょうりく,landing; disembarkation,JLPT_1,noun
蒸溜,じょうりゅう,distillation,JLPT_1,noun
奨励,しょうれい,encouragement; promotion,JLPT_1,noun
ショー,ショー,show,JLPT_1,noun
除外,じょがい,exception; exclusion,JLPT_1,noun
職員,しょくいん,staff member; personnel,JLPT_1,noun
植民地,しょくみんち,colony,JLPT_1,noun
職務,しょくむ,professional duties,JLPT_1,noun
諸君,しょくん,Gentlemen!; Ladies!,JLPT_1,noun
助言,じょげん,advice; suggestion,JLPT_1,noun
徐行,じょこう,going slowly,JLPT_1,noun
所在,しょざい,whereabouts,JLPT_1,noun
所持,しょじ,possession; owning,JLPT_1,noun
所属,しょぞく,attached to; belong to,JLPT_1,noun
処置,しょち,treatment,JLPT_1,noun
しょっちゅう,しょっちゅう,always; constantly,JLPT_1,adverb
所定,しょてい,fixed; prescribed,JLPT_1,noun
所得,しょとく,income,JLPT_1,noun
処罰,しょばつ,punishment,JLPT_1,noun
初版,しょはん,first edition,JLPT_1,noun
書評,しょひょう,book review,JLPT_1,noun
処分,しょぶん,disposal; dealing; punishment,JLPT_1,noun
庶民,しょみん,masses; common people,JLPT_1,noun
庶務,しょむ,general affairs,JLPT_1,noun
所有,しょゆう,one's possessions; ownership,JLPT_1,noun
調べ,しらべ,investigation; inspection,JLPT_1,noun
自立,じりつ,independence; self-reliance,JLPT_1,noun
記す,しるす,to note; to write down,JLPT_1,verb
指令,しれい,orders; instructions; directive,JLPT_1,noun
～心,～しん,mind of ~,JLPT_1,noun
陣,じん,battle formation; camp; encampment,JLPT_1,noun
進化,しんか,evolution; progress,JLPT_1,noun
人格,じんかく,personality; character,JLPT_1,noun
審議,しんぎ,deliberation,JLPT_1,noun
新婚,しんこん,newly-wed,JLPT_1,noun
審査,しんさ,judging; inspection; examination,JLPT_1,noun
人材,じんざい,man of talent,JLPT_1,noun
紳士,しんし,gentleman,JLPT_1,noun
真実,しんじつ,truth; reality,JLPT_1,noun
信者,しんじゃ,believer; devotee,JLPT_1,noun
真珠,しんじゅ,pearl,JLPT_1,noun
進出,しんしゅつ,advancement,JLPT_1,noun
心情,しんじょう,mentality,JLPT_1,noun
新人,しんじん,new face; newcomer,JLPT_1,noun
神聖,しんせい,holiness; sacredness; dignity,JLPT_1,noun
親善,しんぜん,friendship,JLPT_1,noun
真相,しんそう,truth; real situation,JLPT_1,noun
迅速,じんそく,quick; fast; prompt,JLPT_1,adjective
人体,じんたい,human body,JLPT_1,noun
新築,しんちく,new building; new construction,JLPT_1,noun
心中,しんじゅう,double suicide,JLPT_1,noun
進呈,しんてい,presentation,JLPT_1,noun
進展,しんてん,progress; development,JLPT_1,noun
神殿,しんでん,temple; sacred place,JLPT_1,noun
進度,しんど,progress,JLPT_1,noun
振動,しんどう,oscillation; vibration,JLPT_1,noun
新入生,しんにゅうせい,new student; first-year student; freshman,JLPT_1,noun
信任,しんにん,trust; confidence; credence,JLPT_1,noun
神秘,しんぴ,mystery,JLPT_1,noun
辛抱,しんぼう,patience; endurance,JLPT_1,noun
人民,じんみん,people; public,JLPT_1,noun
侵略,しんりゃく,aggression; invasion; raid,JLPT_1,noun
診療,しんりょう,medical examination and treatment,JLPT_1,noun
粋,すい,essence,JLPT_1,noun
水源,すいげん,source of river,JLPT_1,noun
推進,すいしん,propulsion; driving force,JLPT_1,noun
吹奏,すいそう,playing wind instruments,JLPT_1,noun
推測,すいそく,guess; conjecture,JLPT_1,noun
水田,すいでん,(water-filled) paddy field,JLPT_1,noun
推理,すいり,reasoning; inference; mystery or detective genre,JLPT_1,noun
数詞,すうし,numeral,JLPT_1,noun
崇拝,すうはい,worship; adoration,JLPT_1,noun
据え付ける,すえつける,to install; to equip; to mount,JLPT_1,verb
据える,すえる,to set; to lay; to place,JLPT_1,verb
すがすがしい,すがすがしい,fresh; refreshing,JLPT_1,adjective
救い,すくい,help; aid; relief,JLPT_1,noun
すくう (みずを～),すくう (みずを～),to scoop,JLPT_1,noun
健やか,すこやか,vigorous; healthy; sound,JLPT_1,noun
濯ぐ,すすぐ,to rinse; to wash out,JLPT_1,verb
進み,すすみ,progress,JLPT_1,verb
裾,すそ,(trouser) cuff; (skirt) hem; cut edge of a hairdo,JLPT_1,noun
スタジオ,スタジオ,studio,JLPT_1,noun
スチーム,スチーム,steam,JLPT_1,noun
ストライキ,ストライキ,strike,JLPT_1,noun
スト,スト,(abbr.) strike,JLPT_1,noun
ストロー,ストロー,straw,JLPT_1,noun
ストロボ,ストロボ,stroboscope (literally: strobo; strobe lamp; stroboscopic lamp),JLPT_1,noun
すばしこい,すばしこい,nimble; smart; quick,JLPT_1,adjective
素早い,すばやい,fast; quick,JLPT_1,adjective
ずばり,ずばり,decisively; unreservedly; frankly,JLPT_1,adverb
スプリング,スプリング,spring,JLPT_1,noun
スペース,スペース,space,JLPT_1,noun
ずぶぬれ,ずぶぬれ,soaked; dripping wet,JLPT_1,verb
スポーツカー,スポーツカー,sports car,JLPT_1,noun
澄ます,すます,to clear; to make clear; to listen for,JLPT_1,verb
清ます,すます,to clear; to make clear; to listen for,JLPT_1,verb
済ます,すます,to finish; to settle; to do without,JLPT_1,verb
すみやか,すみやか,speedy,JLPT_1,adjective
スラックス,スラックス,slacks,JLPT_1,noun
ずらっと,ずらっと,in a line; in a row,JLPT_1,verb
ずるずる,ずるずる,dragging on; sound of sniffling,JLPT_1,adverb
ずれ,ずれ,difference; gap,JLPT_1,noun
すれちがい,すれちがい,chance encounter,JLPT_1,verb
擦れる,すれる,to rub; to chafe,JLPT_1,verb
すんなり,すんなり,pass with no objection; slim; slender,JLPT_1,adverb
生育,せいいく,growth; development; breeding,JLPT_1,noun
成育,せいいく,growth; raising,JLPT_1,noun
成果,せいか,results; fruits,JLPT_1,noun
正解,せいかい,correct; right answer; solution,JLPT_1,noun
正義,せいぎ,justice; right; righteousness,JLPT_1,noun
生計,せいけい,livelihood; living,JLPT_1,noun
政権,せいけん,(political) administration; political power,JLPT_1,noun
星座,せいざ,constellation,JLPT_1,noun
制裁,せいさい,restraint; sanctions; punishment,JLPT_1,noun
政策,せいさく,political measures; policy,JLPT_1,noun
生死,せいし,life and death,JLPT_1,noun
静止,せいし,stillness; repose; standing still,JLPT_1,noun
誠実,せいじつ,sincere; honest; faithful,JLPT_1,adjective
成熟,せいじゅく,maturity; ripeness,JLPT_1,noun
青春,せいしゅん,youth; springtime of life; adolescent,JLPT_1,noun
清純,せいじゅん,purity; innocence,JLPT_1,noun
聖書,せいしょ,Bible,JLPT_1,noun
正常,せいじょう,normalcy; normality; normal,JLPT_1,adjective
制する,せいする,to control; to command,JLPT_1,verb
整然,せいぜん,orderly; regular; well-organized,JLPT_1,noun
盛装,せいそう,be dressed up; wear rich clothes,JLPT_1,noun
盛大,せいだい,grand; prosperous; magnificent,JLPT_1,adjective
清濁,せいだく,good and evil; purity and impurity,JLPT_1,noun
制定,せいてい,enactment; establishment; creation,JLPT_1,noun
静的,せいてき,static,JLPT_1,adjective
製鉄,せいてつ,iron manufacture,JLPT_1,noun
晴天,せいてん,fine weather,JLPT_1,noun
正当,せいとう,just; due; proper,JLPT_1,adjective
制服,せいふく,uniform,JLPT_1,noun
征服,せいふく,conquest; subjugation; overcoming,JLPT_1,noun
製法,せいほう,manufacturing method; recipe; formula,JLPT_1,noun
精密,せいみつ,precise; exact; detailed; minute,JLPT_1,noun
税務署,ぜいむしょ,tax office,JLPT_1,noun
制約,せいやく,limitation; constraints,JLPT_1,noun
勢力,せいりょく,influence; power; might; strength,JLPT_1,noun
整列,せいれつ,stand in a row; form a line,JLPT_1,noun
セール,セール,sale,JLPT_1,noun
急かす,せかす,to hurry; to urge on,JLPT_1,verb
伜,せがれ,son; my son,JLPT_1,noun
責務,せきむ,duty; obligation,JLPT_1,noun
セクション,セクション,section,JLPT_1,noun
世辞,せじ,flattery; compliment,JLPT_1,noun
世帯,せたい,household,JLPT_1,noun
是正,ぜせい,correction; revision,JLPT_1,noun
世代,せだい,generation,JLPT_1,noun
切開,せっかい,opening up; cutting through,JLPT_1,noun
セックス,セックス,sex,JLPT_1,noun
切実,せつじつ,compelling; serious; severe; acute,JLPT_1,adjective
接触,せっしょく,touch; contact,JLPT_1,noun
