expression,reading,romaji,meaning,tags,part_of_speech,most_200_verb,transitivity
結束,けっそく,kessoku,union; unity,JLPT_1,noun,x,
げっそり,げっそり,gessori,being disheartened; losing weight,JLPT_1,adverb,x,
決断,けつだん,ketsudan,decision; determination,JLPT_1,noun,x,
月賦,げっぷ,geppu,monthly installment,JLPT_1,noun,x,
欠乏,けつぼう,ketsubou,shortage,JLPT_1,noun,x,
蹴飛ばす,けとばす,ketobasu,to kick away; to kick (someone),JLPT_1,verb,x,transitive
けなす,けなす,kenasu,to speak ill of,JLPT_1,verb,x,transitive
煙たい,けむたい,kemutai,smoky; feeling awkward,JLPT_1,adjective,x,
煙る,けむる,kemuru,to smoke (e.g.; fire),JLPT_1,verb,x,intransitive
獣,けもの,kemono,beast; brute,JLPT_1,noun,x,
家来,けらい,kerai,retainer; retinue; servant,JLPT_1,noun,x,
下痢,げり,geri,diarrhea,JLPT_1,noun,x,
権威,けんい,keni,authority; power; influence,JLPT_1,noun,x,
兼業,けんぎょう,kengyou,holding two jobs at the same time,JLPT_1,noun,x,
原形,げんけい,genkei,original form; base form,JLPT_1,noun,x,
原型,げんけい,genkei,prototype; model; archetypal,JLPT_1,noun,x,
権限,けんげん,kengen,power; authority; jurisdiction,JLPT_1,noun,x,
現行,げんこう,genkou,present; current; in operation,JLPT_1,noun,x,
健在,けんざい,kenzai,in good health; well,JLPT_1,adjective,x,
原作,げんさく,gensaku,original work,JLPT_1,noun,x,
検事,けんじ,kenji,public prosecutor,JLPT_1,noun,x,
原子,げんし,genshi,atom,JLPT_1,noun,x,
元首,げんしゅ,genshu,ruler; sovereign,JLPT_1,noun,x,
原書,げんしょ,gensho,original document,JLPT_1,noun,x,
懸賞,けんしょう,kenshou,offering prizes; winning; reward,JLPT_1,noun,x,
健全,けんぜん,kenzen,health; soundness; wholesome,JLPT_1,noun,x,
元素,げんそ,genso,element,JLPT_1,noun,x,
同調,どうちょう,douchou,sympathy; agree with; alignment,JLPT_1,noun,x,
到底,とうてい,toutei,(cannot) possibly,JLPT_1,adverb,x,
動的,どうてき,douteki,dynamic; kinetic,JLPT_1,adjective,x,
尊い,とうとい,toutoi,precious; valuable; noble,JLPT_1,adjective,x,
貴い,とうとい,toutoi,precious; valuable; noble,JLPT_1,adjective,x,
同等,どうとう,doutou,equality; equal; same rank,JLPT_1,noun,x,
堂々,どうどう,doudou,magnificent; grand; impressive,JLPT_1,adverb,x,
尊ぶ,とうとぶ,toutobu,to value; to prize; to esteem,JLPT_1,verb,x,transitive
どうにか,どうにか,dounika,in some way or other; one way or another,JLPT_1,adverb,x,
投入,とうにゅう,tounyuu,throw; investment; making (an electrical circuit),JLPT_1,noun,x,
導入,どうにゅう,dounyuu,introduction; bringing in; leading in,JLPT_1,noun,o,transitive
当人,とうにん,tounin,the one concerned; the said person,JLPT_1,noun,x,
同封,どうふう,doufuu,enclosure (e.g.; in a letter),JLPT_1,noun,x,
逃亡,とうぼう,toubou,escape,JLPT_1,noun,x,
冬眠,とうみん,toumin,hibernation; winter sleep,JLPT_1,noun,x,
同盟,どうめい,doumei,alliance; union; league,JLPT_1,noun,x,
どうやら,どうやら,douyara,it seems like; somehow or other,JLPT_1,adverb,x,
動力,どうりょく,douriku,power; motive power; dynamic force,JLPT_1,noun,x,
登録,とうろく,touroku,registration; register; record,JLPT_1,noun,o,transitive
討論,とうろん,touron,discussion; debate,JLPT_1,noun,x,
遠ざかる,とおざかる,toozakaru,to go far off,JLPT_1,verb,x,intransitive
遠回り,とおまわり,toomawari,detour; roundabout way,JLPT_1,noun,x,
トーン,トーン,tone,tone,JLPT_1,noun,x,
とかく,とかく,tokaku,anyhow; anyway; in any case,JLPT_1,adverb,x,
とがめる,とがめる,togameru,to blame; to rebuke,JLPT_1,verb,x,both
時折,ときおり,tokiori,sometimes,JLPT_1,noun,x,
とぎれる,とぎれる,togireru,to pause; to be interrupted,JLPT_1,verb,x,intransitive
研ぐ,とぐ,togu,to sharpen; to grind; to polish,JLPT_1,verb,x,transitive
特技,とくぎ,tokugi,special talent; skill,JLPT_1,noun,x,
独裁,どくさい,dokusai,dictatorship; despotism,JLPT_1,noun,x,
特産,とくさん,tokusan,specialty; special product,JLPT_1,noun,x,
独自,どくじ,dokuji,original; peculiar; characteristic,JLPT_1,adjective,x,
特集,とくしゅう,tokushuu,feature (e.g.; newspaper; special edition; report),JLPT_1,noun,x,
独占,どくせん,dokusen,monopoly,JLPT_1,noun,x,
独創,どくそう,dokusou,originality,JLPT_1,noun,x,
得点,とくてん,tokuten,score; points made,JLPT_1,noun,x,
特派,とくは,tokuwa,send specially; special envoy,JLPT_1,noun,x,
特有,とくゆう,tokuyuu,characteristic (of; peculiar (to)),JLPT_1,noun,x,
とげ (をさす),とげ (をさす),toge(wosasu),thorn,JLPT_1,noun,x,
遂げる,とげる,togeru,to accomplish; to achieve; to carry out,JLPT_1,verb,x,transitive
～どころか,～どころか,~dokoroka,rather; far from,JLPT_1,noun,x,
年頃,としごろ,toshigoro,age; marriageable age; adolescence,JLPT_1,noun,x,
戸締り,とじまり,tojimari,closing up; locking the doors,JLPT_1,noun,x,
途上,とじょう,tojou,en/in route; half way,JLPT_1,noun,x,
土台,どだい,dodai,foundation; base; basis,JLPT_1,noun,x,
途絶える,とだえる,todaeru,to stop; to cease; to come to an end,JLPT_1,verb,x,intransitive
特許,とっきょ,tokki,special permission; patent,JLPT_1,noun,x,
特権,とっけん,tokken,privilege; special right,JLPT_1,noun,x,
とっさに,とっさに,tossani,at once,JLPT_1,noun,x,
突如,とつじょ,totsujo,suddenly; all of a sudden,JLPT_1,adverb,x,
とって,とって,totte,handle; grip; knob,JLPT_1,verb,x,unspecified
突破,とっぱ,toppa,breaking through; breakthrough; penetration,JLPT_1,noun,x,
土手,どて,dote,embankment; bank,JLPT_1,noun,x,
届,とどけ,todoke,report; notification; registration,JLPT_1,noun,x,
滞る,とどこおる,todokooru,to stagnate; to be delayed,JLPT_1,verb,x,intransitive
整える,ととのえる,totonoeru,to put in order; to arrange; to adjust; to get ready; to prepare; to raise money,JLPT_1,verb,x,transitive
止める,とどめる,todomeru,to end; to stop; to cease; to resign,JLPT_4,verb,x,transitive
唱える,となえる,tonaeru,to recite; to chant; to call upon,JLPT_1,verb,x,transitive
殿様,とのさま,tonosama,feudal lord,JLPT_1,noun,x,
土俵,どひょう,dohyou,arena,JLPT_1,noun,x,
扉,とびら,tobira,door; opening,JLPT_1,noun,x,
溝,どぶ,dobu,ditch; drain; gap,JLPT_1,noun,x,
徒歩,とほ,toho,walking; going on foot,JLPT_1,noun,x,
土木,どぼく,doboku,public works,JLPT_1,noun,x,
とぼける,とぼける,tobokeru,to play dumb; to feign ignorance; to play innocent; to have a blank facial expression; to play the fool; to be in one's dotage,JLPT_1,verb,x,intransitive
乏しい,とぼしい,toboshii,meager; scarce; hard up; poor,JLPT_1,adjective,x,
富,とみ,tomi,wealth; fortune,JLPT_1,noun,x,
富む,とむ,tomu,to be rich; to become rich,JLPT_1,verb,x,intransitive
共稼ぎ,ともかせぎ,tomokasegi,working together; (husband and wife) earning a living together,JLPT_1,noun,x,
伴う,ともなう,tomonau,to accompany; to bring with,JLPT_1,verb,x,both
共働き,ともばたらき,tomobataraki,dual income (husband and wife both working),JLPT_1,noun,x,
ドライ,ドライ,dry,dry,JLPT_1,noun,x,
ドライクリーニング,ドライクリーニング,drycleaning,dry cleaning,JLPT_1,noun,x,
ドライバー,ドライバー,driver,driver; screwdriver,JLPT_1,noun,x,
ドライブイン,ドライブイン,drivein,drive in,JLPT_1,noun,x,
トラブル,トラブル,trouble,trouble (sometimes used as a verb),JLPT_1,noun,x,
トランジスター,トランジスター,transistor,transistor,JLPT_1,noun,x,
とりあえず,とりあえず,toriaezu,at once; first of all; for the time being,JLPT_1,adverb,x,
取扱,とりあつかい,toriatsukai,treatment; handling; management,JLPT_1,noun,x,
取り扱う,とりあつかう,toriatsukau,to treat; to handle; to deal in,JLPT_1,verb,x,transitive
鳥居,とりい,torii,Shinto shrine archway,JLPT_1,noun,x,
取り替え,とりかえ,torikae,swap; exchange,JLPT_1,verb,x,unspecified
取り組む,とりくむ,torikumu,to tackle; to engage in a bout; to come to grips with,JLPT_1,verb,x,intransitive
