expression,reading,romaji,meaning,tags,part_of_speech,most_200_verb,transitivity
共学,きょうがく,kyougaku,coeducation,JLPT_1,noun,x,
共感,きょうかん,kyoukan,sympathy; response,JLPT_1,noun,x,
境遇,きょうぐう,kyouguu,environment; circumstances,JLPT_1,noun,x,
教訓,きょうくん,kyoukun,lesson; precept; moral instruction,JLPT_1,noun,x,
強行,きょうこう,kyoukou,forcing; enforcement,JLPT_1,noun,x,
強硬,きょうこう,kyoukou,firm; vigorous; stubborn,JLPT_1,adjective,x,
教材,きょうざい,kyouzai,teaching materials,JLPT_1,noun,x,
凶作,きょうさく,kyousaku,bad harvest; poor crop,JLPT_1,noun,x,
業者,ぎょうしゃ,gyousha,trader; merchant,JLPT_1,noun,x,
教習,きょうしゅう,kyoushuu,training; instruction,JLPT_1,noun,x,
郷愁,きょうしゅう,kyoushuu,nostalgia; homesickness,JLPT_1,noun,x,
教職,きょうしょく,kyoushoku,teaching profession,JLPT_1,noun,x,
興じる,きょうじる,kyoujiru,to amuse oneself; to make merry,JLPT_1,verb,x,intransitive
強制,きょうせい,kyousei,obligation; compulsion; enforcement,JLPT_1,noun,x,
行政,ぎょうせい,gyousei,administration,JLPT_1,noun,x,
業績,ぎょうせき,gyouseki,achievement; work; contribution,JLPT_1,noun,x,
共存,きょうぞん,kyouzon,coexistence,JLPT_1,noun,x,
協定,きょうてい,kyoutei,arrangement; pact; agreement,JLPT_1,noun,x,
郷土,きょうど,kyoudo,homeland,JLPT_1,noun,x,
脅迫,きょうはく,kyouhaku,threat; coercion,JLPT_1,noun,x,
業務,ぎょうむ,gyoumu,business; duties; work,JLPT_1,noun,x,
共鳴,きょうめい,kyoumei,resonance; sympathy,JLPT_1,noun,x,
郷里,きょうり,kyouri,birth-place; home town,JLPT_1,noun,x,
強烈,きょうれつ,kyouretsu,strong; intense; severe,JLPT_1,adjective,x,
共和,きょうわ,kyouwa,republicanism; cooperation,JLPT_1,noun,x,
局限,きょくげん,kyokugen,limit; localize,JLPT_1,noun,x,
極端,きょくたん,kyokutan,extreme; extremity,JLPT_1,noun,x,
居住,きょじゅう,kyojuu,residence,JLPT_1,noun,x,
拒絶,きょぜつ,kyozetsu,refusal; rejection,JLPT_1,noun,x,
漁船,ぎょせん,gyosen,fishing boat,JLPT_1,noun,x,
漁村,ぎょそん,gison,fishing village,JLPT_1,noun,x,
拒否,きょひ,kyohi,denial; rejection; refusal,JLPT_1,noun,x,
許容,きょよう,kyoyou,permission; pardon,JLPT_1,noun,x,
清らか,きよらか,kiyoraka,clean; pure; chaste,JLPT_1,adjective,x,
きらびやか,きらびやか,kirabiyaka,gorgeous; gaudy; dazzling,JLPT_1,adjective,x,
～きり,～きり,~kiri,only,JLPT_1,noun,x,
義理,ぎり,giri,debt of gratitude; obligation,JLPT_1,noun,x,
切替,きりかえ,kirikae,exchange; conversion; switchover,JLPT_1,noun,x,
気流,きりゅう,kiryuu,atmospheric current,JLPT_1,noun,x,
切れ目,きれめ,kireme,break; pause; gap,JLPT_1,noun,x,
疑惑,ぎわく,giwaku,doubt; misgivings; suspicion,JLPT_1,noun,x,
極めて,きわめて,kiwamete,exceedingly; extremely (written expression),JLPT_1,adverb,x,
近眼,きんがん,kingan,nearsightedness,JLPT_1,noun,x,
緊急,きんきゅう,kinkyuu,urgent; pressing; emergency,JLPT_1,adjective,x,
近郊,きんこう,kinkou,suburbs; outskirts,JLPT_1,noun,x,
均衡,きんこう,kinkou,equilibrium; balance,JLPT_1,noun,x,
禁じる,きんじる,kinjiru,to prohibit,JLPT_1,verb,x,transitive
勤勉,きんべん,kinben,industry; diligence,JLPT_1,noun,x,
吟味,ぎんみ,ginmi,examination; careful investigation,JLPT_1,noun,x,
勤務,きんむ,kinmu,service; duty; work,JLPT_1,noun,x,
禁物,きんもつ,kinmotsu,taboo; forbidden thing,JLPT_1,noun,x,
勤労,きんろう,kinrou,labor; exertion; diligent service,JLPT_1,noun,x,
クイズ,クイズ,quiz,quiz,JLPT_1,noun,x,
食い違う,くいちがう,kuichigau,to cross each other; to differ,JLPT_1,verb,x,intransitive
空間,くうかん,kuukan,space; room; airspace,JLPT_1,noun,x,
空腹,くうふく,kuufuku,hunger,JLPT_1,noun,x,
区画,くかく,kukaku,division; section; area,JLPT_1,noun,x,
区間,くかん,kukan,section,JLPT_1,noun,x,
茎,くき,kuki,stalk,JLPT_1,noun,x,
区切り,くぎり,kugiri,an end; a stop; punctuation,JLPT_1,noun,x,
くぐる,くぐる,kuguru,to pass through; to go around,JLPT_1,verb,x,intransitive
くじ (～をひく),くじ (～をひく),kuji(~wohiku),lottery; lot,JLPT_1,noun,x,
くじびき,くじびき,kujibiki,lottery; drawn lot,JLPT_1,noun,x,
くすぐったい,くすぐったい,kusuguttai,ticklish,JLPT_1,adjective,x,
愚痴,ぐち,guchi,idle complaint; grumble,JLPT_1,noun,x,
口吟む,くちずさむ,kuchizusamu,to humble,JLPT_1,noun,x,
嘴,くちばし,kuchibashi,beak; bill,JLPT_1,noun,x,
朽ちる,くちる,kuchiru,to rot,JLPT_1,verb,x,intransitive
覆す,くつがえす,kutsugaesu,to overturn; to upset; to overthrow,JLPT_1,verb,x,transitive
くっきり,くっきり,kukkiri,distinctly; clearly; boldly,JLPT_1,adverb,x,
屈折,くっせつ,kussetsu,bending; indentation; refraction,JLPT_1,noun,x,
ぐっと,ぐっと,gutto,firmly; fast; more,JLPT_1,adverb,x,
首飾り,くびかざり,kubikazari,necklace,JLPT_1,noun,x,
首輪,くびわ,kubiwa,necklace; choker,JLPT_1,noun,x,
組み込む,くみこむ,kumikomu,to insert; to include; to cut in (printing),JLPT_1,verb,x,transitive
組み合わせる,くみあわせる,kumiawaseru,to join together; to combine; to join up,JLPT_1,verb,x,transitive
蔵,くら,kura,warehouse; cellar,JLPT_1,noun,x,
グレー,グレー,gray,grey; gray,JLPT_1,noun,x,
クレーン,クレーン,crane,crane,JLPT_1,noun,x,
玄人,くろうと,kurouto,expert; professional,JLPT_1,noun,x,
黒字,くろじ,kuroji,balance (figure) in the black,JLPT_1,noun,x,
軍艦,ぐんかん,gunkan,warship; battleship,JLPT_1,noun,x,
軍事,ぐんじ,gunji,military affairs,JLPT_1,noun,x,
君主,くんしゅ,kunshu,ruler; monarch,JLPT_1,noun,x,
群集,ぐんしゅう,gunshuu,(social) group; crowd; mob,JLPT_1,noun,x,
群衆,ぐんしゅう,gunshuu,(social) group; crowd; mob,JLPT_1,noun,x,
軍備,ぐんび,gunbi,armaments; military preparations,JLPT_1,noun,x,
軍服,ぐんぷく,gunpuku,military or naval uniform,JLPT_1,noun,x,
芸,げい,gei,art; accomplishment; performance,JLPT_1,noun,x,
経過,けいか,keika,passage; progress,JLPT_1,noun,x,
軽快,けいかい,keikai,lively; casual; light,JLPT_1,noun,x,
警戒,けいかい,keikai,warning; admonition; vigilance,JLPT_1,noun,x,
敬具,けいぐ,keigu,Sincerely (used at the end of letter),JLPT_1,noun,x,
軽減,けいげん,keigen,reduction; lessening,JLPT_1,noun,x,
掲載,けいさい,keisai,appearance (e.g.; article in paper),JLPT_1,noun,x,
傾斜,けいしゃ,keisha,inclination; slope; dip,JLPT_1,noun,x,
形成,けいせい,keisei,formation,JLPT_1,noun,x,
形勢,けいせい,keisei,condition; situation; prospects,JLPT_1,noun,x,
軽率,けいそつ,keisotsu,thoughtless; careless; hasty,JLPT_1,noun,x,
刑罰,けいばつ,keibatsu,judgment; penalty; punishment,JLPT_1,noun,x,
経費,けいひ,keihi,expenses; cost; outlay,JLPT_1,noun,x,
警部,けいぶ,keibu,police inspector,JLPT_1,noun,x,
転換,てんかん,tenkan,convert; divert,JLPT_1,noun,x,
転居,てんきょ,tenkyo,moving; changing residence,JLPT_1,noun,x,
転勤,てんきん,tenkin,transfer (to another office of a company),JLPT_1,noun,o,
点検,てんけん,tenken,inspection; examination; checking,JLPT_1,noun,o,
電源,でんげん,dengen,source of electricity; power (e.g.; button on TV),JLPT_1,noun,x,
天国,てんごく,tengoku,paradise; heaven; Kingdom of Heaven,JLPT_1,noun,x,
天才,てんさい,tensai,a genius,JLPT_1,noun,x,
天災,てんさい,tensai,natural calamity; disaster,JLPT_1,noun,x,
展示,てんじ,tenji,exhibition; display,JLPT_1,noun,x,
伝説,でんせつ,densetsu,tradition; legend; folklore,JLPT_1,noun,x,
点線,てんせん,tensen,dotted line,JLPT_1,noun,x,
転じる,てんじる,tenjiru,to turn; to shift,JLPT_1,verb,x,both
転ずる,てんずる,tenzuru,to turn; to shift,JLPT_1,verb,x,both
天体,てんたい,tentai,heavenly body,JLPT_1,noun,x,
伝達,でんたつ,dentatsu,transmission (e.g.; news; communication; delivery),JLPT_1,noun,x,
天地,てんち,tenchi,heaven and earth; the universe,JLPT_1,noun,x,
てんで,てんで,tende,(not) at all; altogether; entirely,JLPT_1,adverb,x,
転任,てんにん,tennin,change of post,JLPT_1,noun,x,
展望,てんぼう,tenbou,view; outlook; prospect,JLPT_1,noun,x,
伝来,でんらい,denrai,ancestral; hereditary; imported,JLPT_1,noun,x,
転落,てんらく,tenraku,fall; degradation,JLPT_1,noun,x,
問い合わせる,といあわせる,toiawaseru,to inquire; to seek information,JLPT_1,verb,o,transitive
当～,とう～,tou~,Our ~ (e.g.; Hotel; plane; etc.),JLPT_1,noun,x,
胴,どう,dou,trunk; body; frame,JLPT_1,noun,x,
同意,どうい,doui,agreement; consent; same meaning,JLPT_1,noun,x,
動員,どういん,douin,mobilization,JLPT_1,noun,x,
同感,どうかん,doukan,agreement; same opinion; same feeling,JLPT_1,noun,x,
陶器,とうき,touki,pottery; ceramics,JLPT_1,noun,x,
討議,とうぎ,tougi,debate; discussion,JLPT_1,noun,x,
動機,どうき,douki,motive; incentive,JLPT_1,noun,x,
等級,とうきゅう,toukyuu,grade; class,JLPT_1,noun,x,
同級,どうきゅう,doukyuu,the same grade; same class,JLPT_1,noun,x,
同居,どうきょ,doukyo,living together,JLPT_1,noun,x,
登校,とうこう,toukou,attendance (at school),JLPT_1,noun,x,
統合,とうごう,tougou,integration; unification; synthesis,JLPT_1,noun,x,
動向,どうこう,doukou,trend; tendency; movement; attitude,JLPT_1,noun,x,
投資,とうし,toushi,investment,JLPT_1,noun,x,
同情,どうじょう,doujou,sympathy; compassion; sympathize,JLPT_1,noun,x,
道場,どうじょう,doujou,(arch) dojo; hall used for martial arts training; mandala,JLPT_1,noun,x,
統制,とうせい,tousei,regulation; control,JLPT_1,noun,x,
当選,とうせん,tousen,being elected; winning the prize,JLPT_1,noun,x,
逃走,とうそう,tousou,flight; desertion; escape,JLPT_1,noun,x,
統率,とうそつ,tousotsu,command; generalship; leadership,JLPT_1,noun,x,
到達,とうたつ,toutatsu,reaching; attaining; arrival,JLPT_1,noun,x,
統治,とうち,touchi,rule; reign; governing,JLPT_1,noun,x,
仕切る,しきる,shikiru,to partition; to divide; to mark off,JLPT_1,verb,x,both
資金,しきん,shikin,funds; capital,JLPT_1,noun,x,
軸,じく,jiku,axis; stem; shaft,JLPT_1,noun,x,
しくじる,しくじる,shikujiru,to fail; to fall through; to blunder,JLPT_1,verb,x,intransitive
仕組,しくみ,shikumi,structure; mechanism,JLPT_1,noun,x,
死刑,しけい,shikei,death penalty,JLPT_1,noun,x,
湿気る,しける,shikeru,to be damp; to be moist,JLPT_1,verb,x,intransitive
施行,しこう,shikou,enforcement; operation,JLPT_1,noun,x,
思考,しこう,shikou,thought,JLPT_1,noun,x,
志向,しこう,shikou,intention; aim,JLPT_1,noun,x,
嗜好,しこう,shikou,taste; liking; preference,JLPT_1,noun,x,
事項,じこう,jikou,matter(s); item(s); facts,JLPT_1,noun,x,
時刻表,じこくひょう,jikokuhyou,timetable; (train) schedule,JLPT_1,noun,x,
地獄,じごく,jigoku,hell,JLPT_1,noun,x,
時差,じさ,jisa,time difference,JLPT_1,noun,x,
自在,じざい,jizai,freely; at will,JLPT_1,adjective,x,
視察,しさつ,shisatsu,inspection; observation,JLPT_1,noun,x,
資産,しさん,shisan,property; fortune; assets,JLPT_1,noun,x,
支持,しじ,shiji,support,JLPT_1,noun,x,
自主,じしゅ,jishu,independence; autonomy,JLPT_1,noun,x,
自首,じしゅ,jishu,surrender; give oneself up,JLPT_1,noun,x,
刺繍,ししゅう,shishuu,embroidery,JLPT_1,noun,x,
市場,しじょう,shijou,(the) market (as a concept),JLPT_1,noun,x,
辞職,じしょく,jishoku,resignation,JLPT_1,noun,x,
雫,しずく,shizuku,drop (of water),JLPT_1,noun,x,
システム,システム,system,system,JLPT_1,noun,x,
沈める,しずめる,shizumeru,to sink; to submerge,JLPT_1,verb,x,transitive
施設,しせつ,shisetsu,establishment; facility,JLPT_1,noun,x,
事前,じぜん,jizen,prior; beforehand; in advance,JLPT_1,noun,x,
子息,しそく,shisoku,(hon.) son,JLPT_1,noun,x,
持続,じぞく,jizoku,continuation; endurance,JLPT_1,noun,x,
自尊心,じそんしん,jisonshin,self-respect; conceit,JLPT_1,noun,x,
慕う,したう,shitau,to yearn to adore,JLPT_1,verb,x,transitive
下心,したごころ,shitagokoro,secret intention; motive,JLPT_1,noun,x,
下地,したじ,shitaji,groundwork; foundation,JLPT_1,noun,x,
親しむ,したしむ,shitashimu,to be intimate with; to befriend,JLPT_1,verb,x,intransitive
下調べ,したしらべ,shitashirabe,preliminary investigation,JLPT_1,noun,x,
愛想,あいそう,aisou,sociability,JLPT_1,noun,x,
間柄,あいだがら,aidagara,relationship,JLPT_1,noun,x,
合間,あいま,aima,interval,JLPT_1,noun,x,
敢えて,あえて,aete,dare (to do); venture (to do); challenge (to do),JLPT_1,adverb,x,
仰ぐ,あおぐ,aogu,to look up (to); to respect; to ask for,JLPT_1,verb,x,transitive
垢,あか,aka,dirt; filth,JLPT_1,noun,x,
赤字,あかじ,akaji,deficit; go in the red,JLPT_1,noun,x,
明かす,あかす,akasu,to reveal; to stay up,JLPT_1,verb,x,transitive
赤らむ,あからむ,akaramu,to become red; to blush,JLPT_1,verb,x,intransitive
上がり,あがり,agari,ascent; income; completion; stop,JLPT_1,noun,x,
諦め,あきらめ,akirame,resignation; reconciliation; consolation,JLPT_1,verb,x,unspecified
アクセル,アクセル,accelerater,(abbr.) accelerator,JLPT_1,noun,x,
あくどい,あくどい,akudoi,gaudy vicious,JLPT_1,adjective,x,
顎,あご,ago,chin,JLPT_1,noun,x,
憧れ,あこがれ,akogare,yearning; longing; aspiration,JLPT_1,verb,x,unspecified
麻,あさ,asa,hemp,JLPT_1,noun,x,
あざ,あざ,aza,birthmark; bruise,JLPT_1,noun,x,
浅ましい,あさましい,asamashii,shameful; mean; despicable,JLPT_1,adjective,x,
欺く,あざむく,azamuku,to deceive,JLPT_1,verb,x,transitive
鮮やか,あざやか,azayaka,vivid; clear,JLPT_1,adjective,x,
嘲笑う,あざわらう,azawarau,to sneer at; to ridicule,JLPT_1,verb,x,transitive
悪しからず,あしからず,ashikarazu,don't take me wrong; but...; I'm sorry,JLPT_1,adverb,x,
味わい,あじわい,ajiwai,flavor; relish,JLPT_1,noun,x,
焦る,あせる,aseru,to be in a hurry; to be impatient,JLPT_1,verb,x,intransitive
あせる (こえが～),あせる (こえが～),aseru(koega~),to fade; to discolor,JLPT_1,noun,x,
値,あたい,atai,value; price; worth,JLPT_1,noun,x,
値する,あたいする,ataisuru,to be worth; to deserve,JLPT_1,verb,x,intransitive
悪化,あっか,akka,deterioration; worsen,JLPT_1,noun,x,
扱い,あつかい,atsukai,treatment; service,JLPT_1,noun,x,
呆気ない,あっけない,akkenai,not enough; too quick (short; long; etc.),JLPT_1,adjective,x,
あっさり,あっさり,assari,easily; readily; quickly,JLPT_1,adverb,x,
斡旋,あっせん,assen,kind offices; mediation,JLPT_1,noun,x,
圧倒,あっとう,attou,overwhelm; overpower,JLPT_1,noun,x,
圧迫,あっぱく,appaku,pressure; coercion; oppression,JLPT_1,noun,x,
あつらえる,あつらえる,atsuraeru,to give an order; to place an order,JLPT_1,verb,x,transitive
圧力,あつりょく,atsuriku,stress; pressure,JLPT_1,noun,x,
当て,あて,ate,expectations; depend,JLPT_1,adverb,x,
～宛,～あて,~ate,for…(e.g.; In a letter),JLPT_1,noun,x,
当て字,あてじ,ateji,phonetic-equivalent character; substitute character,JLPT_1,noun,x,
跡継ぎ,あとつぎ,atotsugi,heir; successor,JLPT_1,noun,x,
後回し,あとまわし,atomawashi,putting off; postponing,JLPT_1,noun,x,
油絵,あぶらえ,aburae,oil painting,JLPT_1,noun,x,
アプローチ,アプローチ,approach,approach (in golf),JLPT_1,noun,x,
あべこべ,あべこべ,abekobe,contrary; opposite; inverse,JLPT_1,noun,x,
甘える,あまえる,amaeru,to behave like a spoiled child; to fawn on,JLPT_1,verb,x,intransitive
雨具,あまぐ,amagu,rain gear,JLPT_1,noun,x,
甘口,あまくち,amakuchi,sweet flavor,JLPT_1,noun,x,
アマチュア,アマチュア,amateur,amateur,JLPT_1,noun,x,
網,あみ,ami,net,JLPT_1,noun,x,
操る,あやつる,ayatsuru,to manipulate; to operate; to pull strings,JLPT_1,verb,x,transitive
危ぶむ,あやぶむ,ayabumu,to fear; to have misgivings; to be doubtful,JLPT_1,verb,x,transitive
あやふや,あやふや,ayafuya,uncertain; vague; ambiguous,JLPT_1,adjective,x,
過ち,あやまち,ayamachi,fault; error; indiscretion,JLPT_1,noun,x,
誤る,あやまる,ayamaru,to make a mistake,JLPT_1,verb,x,both
歩み,あゆみ,ayumi,step; progress; history,JLPT_1,noun,x,
歩む,あゆむ,ayumu,to walk,JLPT_1,verb,x,intransitive
予め,あらかじめ,arakajime,in advance; previously,JLPT_1,adverb,x,
荒らす,あらす,arasu,to damage; to invade,JLPT_1,verb,x,transitive
争い,あらそい,arasoi,dispute; quarrel; conflict,JLPT_1,noun,x,
改まる,あらたまる,aratamaru,to be renewed; to be formal,JLPT_1,verb,x,intransitive
荒っぽい,あらっぽい,arappoi,rough; rude,JLPT_1,adjective,x,
アラブ,アラブ,arab,Arab,JLPT_1,noun,x,
霰,あられ,arare,hail (e.g.; falling ice balls),JLPT_1,noun,x,
有り様,ありさま,arisama,state; condition,JLPT_1,noun,x,
ありのまま,ありのまま,arinomama,the truth; as it is; frankly,JLPT_1,adverb,x,
ありふれる,ありふれる,arifureru,common; ordinary; routine,JLPT_1,verb,x,intransitive
アルカリ,アルカリ,alkali,alkali,JLPT_1,noun,x,
アルミ,アルミ,aluminium,aluminum (Al; aluminum),JLPT_1,noun,x,
アワー,アワー,hour,hour,JLPT_1,noun,x,
合わす,あわす,awasu,to join together; to face; to unite,JLPT_1,verb,x,transitive
～合せ,～あわせ,~awase,in all,JLPT_1,noun,x,
アンコール,アンコール,encore,encore,JLPT_1,noun,x,
暗殺,あんさつ,ansatsu,assassination,JLPT_1,noun,x,
暗算,あんざん,anzan,mental arithmetic,JLPT_1,noun,x,
暗示,あんじ,anji,hint; suggestion,JLPT_1,noun,x,
案じる,あんじる,anjiru,to be anxious; to ponder,JLPT_1,verb,x,transitive
安静,あんせい,ansei,rest,JLPT_1,noun,x,
案の定,あんのじょう,annojou,sure enough; as usual,JLPT_1,adverb,x,
いい加減,いいかげん,iikagen,random; irresponsible,JLPT_1,adverb,x,
言い訳,いいわけ,iiwake,excuse; explanation,JLPT_1,noun,x,
イェス,イェス,esu,yes; Jesus,JLPT_1,noun,x,
家出,いえで,iede,running away from home,JLPT_1,noun,x,
生かす,いかす,ikasu,to keep something alive; to make use of,JLPT_1,verb,x,transitive
いかに,いかに,ikani,how; in what way,JLPT_1,adverb,x,
いかにも,いかにも,ikanimo,truly (same as 実に (じつに)),JLPT_1,adverb,x,
異議,いぎ,igi,objection; dissent; protest,JLPT_1,noun,x,
生き甲斐,いきがい,ikigai,something one lives for; very important,JLPT_1,noun,x,
行き違い,いきちがい,ikichigai,misunderstanding; disagreement,JLPT_1,noun,x,
意気込む,いきごむ,ikigomu,to be enthusiastic about,JLPT_1,verb,x,intransitive
育成,いくせい,ikusei,rearing; training; cultivation,JLPT_1,noun,x,
幾多,いくた,ikuta,many; numerous,JLPT_1,noun,x,
(花を〜) 生ける; 活ける,(はなを～) いける,(hanawo~)ikeru,to arrange (flowers),JLPT_1,verb,x,transitive
異見,いけん,iken,different opinion; objection,JLPT_1,noun,x,
意向,いこう,ikou,intention; idea; inclination,JLPT_1,noun,x,
移行,いこう,ikou,switching over to,JLPT_1,noun,x,
いざ,いざ,iza,now; come (now); crucial moment,JLPT_1,adverb,x,
移住,いじゅう,ijuu,migration; immigration,JLPT_1,noun,x,
衣装,いしょう,ishou,clothing; costume; outfit,JLPT_1,noun,x,
いじる,いじる,ijiru,to touch; to tamper with,JLPT_1,verb,x,transitive
異性,いせい,isei,the opposite sex,JLPT_1,noun,x,
遺跡,いせき,iseki,historic ruins,JLPT_1,noun,x,
依存,いぞん,izon,dependence; dependent; reliance,JLPT_1,noun,x,
委託,いたく,itaku,consign (goods (for sale) to a firm); entrust,JLPT_1,noun,x,
いたって,いたって,itatte,very much; exceedingly; extremely,JLPT_1,verb,x,unspecified
出世,しゅっせ,shusse,promotion; successful career; eminence,JLPT_1,noun,x,
出題,しゅつだい,shutsudai,proposing a question,JLPT_1,noun,x,
出動,しゅつどう,shutsudou,mobilization; action,JLPT_1,noun,x,
出費,しゅっぴ,shuppi,expenses; disbursements,JLPT_1,noun,x,
出品,しゅっぴん,shuppin,exhibit; display,JLPT_1,noun,x,
主導,しゅどう,shudou,main leadership,JLPT_1,noun,x,
主任,しゅにん,shunin,person in charge; responsible official,JLPT_1,noun,x,
首脳,しゅのう,shunou,head; leader,JLPT_1,noun,x,
守備,しゅび,shubi,defense,JLPT_1,noun,x,
手法,しゅほう,shuhou,technique,JLPT_1,noun,x,
樹木,じゅもく,jumoku,trees and shrubs; arbor,JLPT_1,noun,x,
樹立,じゅりつ,juritsu,establish; create,JLPT_1,noun,x,
準急,じゅんきゅう,junkyuu,local express (train; slower than an express),JLPT_1,noun,x,
準じる,じゅんじる,junjiru,to follow; to conform; to apply to,JLPT_1,verb,x,intransitive
～署,～しょ,~sho,department,JLPT_1,noun,x,
～症,～しょう,~shou,disease,JLPT_1,noun,x,
～証,～しょう,~shou,proof; certificate,JLPT_1,noun,x,
～嬢,～じょう,~jou,young woman,JLPT_1,noun,x,
上位,じょうい,joui,superior; higher order,JLPT_1,noun,x,
上演,じょうえん,jouen,art performance,JLPT_1,noun,x,
城下,じょうか,jouka,land near the castle,JLPT_1,noun,x,
消去,しょうきょ,shouki,elimination; erasing,JLPT_1,noun,x,
上空,じょうくう,joukuu,sky; high-altitude sky; upper air,JLPT_1,noun,x,
衝撃,しょうげき,shougeki,shock; crash; impact; ballistic,JLPT_1,noun,x,
証言,しょうげん,shougen,evidence; testimony,JLPT_1,noun,x,
証拠,しょうこ,shouko,evidence; proof,JLPT_1,noun,x,
照合,しょうごう,shougou,check; verification,JLPT_1,noun,x,
詳細,しょうさい,shousai,detail; particulars,JLPT_1,adjective,x,
上昇,じょうしょう,joushou,rising; ascending; climbing,JLPT_1,noun,x,
昇進,しょうしん,shoushin,promotion,JLPT_1,noun,o,
称する,しょうする,shousuru,to take the name of; to call oneself,JLPT_1,verb,x,transitive
情勢,じょうせい,jousei,state of things; condition; situation,JLPT_1,noun,x,
消息,しょうそく,shousoku,news; letter; circumstances,JLPT_1,noun,x,
承諾,しょうだく,shoudaku,consent; agreement,JLPT_1,noun,x,
情緒,じょうちょ,joucho,emotion; feeling,JLPT_1,noun,x,
情緒,じょうしょ,jousho,emotion; feeling,JLPT_1,noun,x,
象徴,しょうちょう,shouchou,symbol,JLPT_1,noun,x,
小児科,しょうにか,shounika,pediatrics,JLPT_1,noun,x,
使用人,しようにん,shiyounin,employee; servant,JLPT_1,noun,x,
情熱,じょうねつ,jounetsu,passion; enthusiasm; zeal,JLPT_1,noun,x,
譲歩,じょうほ,jouho,concession; conciliation; compromise,JLPT_1,noun,x,
条約,じょうやく,jouyaku,treaty; pact,JLPT_1,noun,x,
勝利,しょうり,shiyoori,victory; triumph; win,JLPT_1,noun,x,
上陸,じょうりく,jouriku,landing; disembarkation,JLPT_1,noun,x,
蒸溜,じょうりゅう,jouryuu,distillation,JLPT_1,noun,x,
奨励,しょうれい,shourei,encouragement; promotion,JLPT_1,noun,x,
ショー,ショー,show,show,JLPT_1,noun,x,
除外,じょがい,jogai,exception; exclusion,JLPT_1,noun,x,
職員,しょくいん,shokuin,staff member; personnel,JLPT_1,noun,x,
植民地,しょくみんち,shokuminchi,colony,JLPT_1,noun,x,
職務,しょくむ,shokumu,professional duties,JLPT_1,noun,x,
諸君,しょくん,shokun,Gentlemen!; Ladies!,JLPT_1,noun,x,
助言,じょげん,jogen,advice; suggestion,JLPT_1,noun,x,
徐行,じょこう,jokou,going slowly,JLPT_1,noun,x,
所在,しょざい,shozai,whereabouts,JLPT_1,noun,x,
所持,しょじ,shoji,possession; owning,JLPT_1,noun,x,
所属,しょぞく,shozoku,attached to; belong to,JLPT_1,noun,x,
処置,しょち,shochi,treatment,JLPT_1,noun,x,
しょっちゅう,しょっちゅう,shotchuu,always; constantly,JLPT_1,adverb,x,
所定,しょてい,shotei,fixed; prescribed,JLPT_1,noun,x,
所得,しょとく,shotoku,income,JLPT_1,noun,x,
処罰,しょばつ,shobatsu,punishment,JLPT_1,noun,x,
初版,しょはん,shohan,first edition,JLPT_1,noun,x,
書評,しょひょう,shohyou,book review,JLPT_1,noun,x,
処分,しょぶん,shobun,disposal; dealing; punishment,JLPT_1,noun,x,
庶民,しょみん,shomin,masses; common people,JLPT_1,noun,x,
庶務,しょむ,shomu,general affairs,JLPT_1,noun,x,
所有,しょゆう,shoyuu,one's possessions; ownership,JLPT_1,noun,x,
調べ,しらべ,shirabe,investigation; inspection,JLPT_1,noun,x,
自立,じりつ,jiritsu,independence; self-reliance,JLPT_1,noun,x,
記す,しるす,shirusu,to note; to write down,JLPT_1,verb,x,transitive
指令,しれい,shirei,orders; instructions; directive,JLPT_1,noun,x,
～心,～しん,~shin,mind of ~,JLPT_1,noun,x,
陣,じん,jin,battle formation; camp; encampment,JLPT_1,noun,x,
進化,しんか,shinka,evolution; progress,JLPT_1,noun,x,
人格,じんかく,jinkaku,personality; character,JLPT_1,noun,x,
審議,しんぎ,shingi,deliberation,JLPT_1,noun,x,
新婚,しんこん,shinkon,newly-wed,JLPT_1,noun,x,
審査,しんさ,shinsa,judging; inspection; examination,JLPT_1,noun,x,
人材,じんざい,jinzai,man of talent,JLPT_1,noun,x,
紳士,しんし,shinshi,gentleman,JLPT_1,noun,x,
真実,しんじつ,shinjitsu,truth; reality,JLPT_1,noun,x,
信者,しんじゃ,shinja,believer; devotee,JLPT_1,noun,x,
真珠,しんじゅ,shinju,pearl,JLPT_1,noun,x,
進出,しんしゅつ,shinshitsu,advancement,JLPT_1,noun,x,
心情,しんじょう,shinjou,mentality,JLPT_1,noun,x,
新人,しんじん,shinjin,new face; newcomer,JLPT_1,noun,x,
神聖,しんせい,shinsei,holiness; sacredness; dignity,JLPT_1,noun,x,
親善,しんぜん,shinzen,friendship,JLPT_1,noun,x,
真相,しんそう,shinsou,truth; real situation,JLPT_1,noun,x,
迅速,じんそく,jinsoku,quick; fast; prompt,JLPT_1,adjective,x,
人体,じんたい,jintai,human body,JLPT_1,noun,x,
新築,しんちく,shinchiku,new building; new construction,JLPT_1,noun,x,
心中,しんじゅう,shinjuu,double suicide,JLPT_1,noun,x,
進呈,しんてい,shintei,presentation,JLPT_1,noun,x,
進展,しんてん,shinten,progress; development,JLPT_1,noun,x,
神殿,しんでん,shinden,temple; sacred place,JLPT_1,noun,x,
進度,しんど,shindo,progress,JLPT_1,noun,x,
振動,しんどう,shindou,oscillation; vibration,JLPT_1,noun,x,
